업종,기업명,종목코드
전기전자,삼성전자,A005930
전기전자,SK하이닉스,A000660
전기전자,LG전자,A066570
전기전자,삼성전기,A009150
전기전자,솔브레인홀딩스,A036830
전기전자,DB하이텍,A000990
전기전자,한미반도체,A042700
자동차,현대차,A005380
자동차,기아,A000270
자동차,현대모비스,A012330
자동차,현대위아,A011210
자동차,HL만도,A204320
자동차,한온시스템,A018880
2차전지,LG에너지솔루션,A373220
2차전지,삼성SDI,A006400
2차전지,SK이노베이션,A096770
2차전지,에코프로비엠,A247540
2차전지,에코프로,A086520
2차전지,포스코퓨처엠,A003670
철강금속,POSCO홀딩스,A005490
철강금속,현대제철,A004020
철강금속,동국제강,A460860
철강금속,풍산,A103140
철강금속,세아제강지주,A003030
철강금속,포스코스틸리온,A058430
석유화학,LG화학,A051910
석유화학,금호석유화학,A011780
석유화학,대한유화,A006650
석유화학,롯데케미칼,A011170
석유화학,효성티앤씨,A298020
석유화학,이수화학,A005950
쇼핑유통,호텔신라,A008770
쇼핑유통,신세계,A004170
쇼핑유통,롯데쇼핑,A023530
쇼핑유통,이마트,A139480
쇼핑유통,BGF리테일,A282330
쇼핑유통,GS리테일,A007070
은행,KB금융,A105560
은행,신한지주,A055550
은행,하나금융지주,A086790
은행,우리금융지주,A316140
은행,메리츠금융지주,A138040
은행,JB금융지주,A175330
증권,신영증권,A001720
증권,대신증권,A003540
증권,NH투자증권,A005940
증권,미래에셋증권,A006800
증권,한국금융지주,A071050
증권,키움증권,A039490
보험,DB손해보험,A005830
보험,삼성화재,A000810
보험,현대해상,A001450
보험,삼성생명,A032830
보험,미래에셋생명,A085620
보험,롯데손해보험,A000400
정유.가스,S-Oil,A010950
정유.가스,GS,A078930
정유.가스,SK가스,A018670
정유.가스,한국가스공사,A036460
정유.가스,경동도시가스,A267290
기계.풍력,두산밥캣,A241560
기계.풍력,HD건설기계,A267270
기계.풍력,태웅,A044490
기계.풍력,씨에스윈드,A112610
기계.풍력,SK오션플랜트,A100090
전력.원전,한전기술,A052690
전력.원전,두산에너빌리티,A034020
전력.원전,한전KPS,A051600
전력.원전,한전산업,A130660
전력.원전,LS,A006260
전력.원전,LS ELECTRIC,A010120
태양광,OCI,A456040
태양광,OCI홀딩스,A010060
태양광,한화솔루션,A009830
태양광,HD현대에너지솔루션,A322000
조선,HD한국조선해양,A009540
조선,HD현대중공업,A329180
조선,한화오션,A042660
조선,삼성중공업,A010140
조선,한화엔진,A082740
조선,HD현대마린엔진,A071970
조선,HD현대마린솔루션,A443060
조선,한국카본,A017960
조선,동성화인텍,A033500
조선,성광벤드,A014620
조선,태광,A023160
조선,하이록코리아,A013030
조선,대한조선,A439260
방산,한화,A000880
방산,한국항공우주,A047810
방산,LIG디펜스앤에어로스페이스,A079550
방산,현대로템,A064350
방산,한화에어로스페이스,A012450
방산,한화시스템,A272210
방산,한화비전,A489790
해운.운송,현대글로비스,A086280
해운.운송,CJ대한통운,A000120
해운.운송,HMM,A011200
해운.운송,팬오션,A028670
해운.운송,대한해운,A005880
해운.운송,흥아해운,A003280
항공.무역,LX인터내셔널,A001120
항공.무역,포스코인터내셔널,A047050
항공.무역,한진칼,A180640
항공.무역,대한항공,A003490
건설,현대건설,A000720
건설,삼성E&A,A028050
건설,DL이앤씨,A375500
건설,GS건설,A006360
건설,대우건설,A047040
건설,아이에스동서,A010780
건자재,한일시멘트,A300720
건자재,아세아시멘트,A183190
건자재,삼표시멘트,A038500
건자재,성신양회,A004980
건자재,유진기업,A023410
건자재,한일홀딩스,A003300
가구.목재.페인트,한샘,A009240
가구.목재.페인트,LX하우시스,A108670
가구.목재.페인트,이건산업,A008250
가구.목재.페인트,삼목에스폼,A018310
가구.목재.페인트,KCC글라스,A344820
가구.목재.페인트,KCC,A002380
화장품,한국콜마,A161890
화장품,코스맥스,A192820
화장품,에이블씨엔씨,A078520
화장품,아모레퍼시픽,A090430
화장품,아모레퍼시픽홀딩스,A002790
화장품,LG생활건강,A051900
제약.바이오,유나이티드제약,A033270
제약.바이오,종근당,A185750
제약.바이오,휴젤,A145020
제약.바이오,셀트리온,A068270
제약.바이오,삼성바이오로직스,A207940
게임,크래프톤,A259960
게임,NC,A036570
게임,카카오게임즈,A293490
인터넷.로봇,NAVER,A035420
인터넷.로봇,카카오,A035720
인터넷.로봇,두산로보틱스,A454910
인터넷.로봇,레인보우로보틱스,A277810
인터넷.로봇,로보티즈,A108490
지주사 1,SK,A034730
지주사 1,SK스퀘어,A402340
지주사 1,CJ,A001040
지주사 1,효성,A004800
지주사 1,HD현대,A267250
지주사 1,삼성물산,A028260
지주사 1,롯데지주,A004990
지주사 1,AK홀딩스,A006840
지주사 1,하림지주,A003380
지주사 1,오리온홀딩스,A001800
지주사 1,하이트진로홀딩스,A000140
지주사 1,콜마홀딩스,A024720
지주사 1,코스맥스비티아이,A044820
의류,F&F,A383220
의류,한섬,A020000
의류,한세실업,A105630
의류,영원무역,A111770
의류,영원무역홀딩스,A009970
의류,미스토홀딩스,A081660
음식료,농심,A004370
음식료,삼양식품,A003230
음식료,CJ제일제당,A097950
음식료,동원산업,A006040
음식료,사조대림,A003960
음식료,사조산업,A007160
엔터,JYP Ent.,A035900
엔터,하이브,A352820
엔터,에스엠,A041510
엔터,와이지엔터테인먼트,A122870
엔터,큐브엔터,A182360
엔터,디어유,A376300
